Hospital_Name (clean),Hospital Name rev 2,Country
"RS APOTIK TIARA SURABAYA, INDONESIA, Indonesia",APOTEK TIARA SURABAYA,Indonesia
"RS APOTEK SEHATI, MALANG, Indonesia",APOTEK SEHATI,Indonesia
"RS ELISABETH PURWOKERTO, PURWOKERTO, Indonesia",RS ELISABETH PURWOKERTO,Indonesia
"RS YAP CHIN KONG GASTROENTEROLOGY LIVER CLINIC, S",YAP CHIN KONG GASTROENTEROLOGY LIVER CLINIC SINGAPORE,Singapore
"RS DR. TT LIM CARDIOLOGY CLINIC, SINGAPORE, Singap",TT LIM CARDIOLOGY CLINIC SINGAPORE,Singapore
RS LUKE TAN ENT-HEAD NECK- -SYNUS THYROID SURGER,LUKE TAN ENT HEAD NECK SINUS THYROID SURGERY,Singapore
"RS PLUIT JAKARTA, JAKARTA, Indonesia",RS PLUIT,Indonesia
"KLINIK POLONIA, INDONESIA, Indonesia",KLINIK POLONIA,Indonesia
"RS APOTIK TIARA, INDONESIA, Indonesia",APOTEK TIARA,Indonesia
"RS KEPOLISIAN BHAYANGKARA, INDONESIA, Indonesia",RS KEPOLISIAN BHAYANGKARA,Indonesia
"RS Apotik SMS, Indonesia, Indonesia",APOTEK SMS,Indonesia
"RS THE ENT VOICE SNORING CLINIC, SINGAPORE, Singa",MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE,Singapore
"RS RSUD PORSEA, INDONESIA, Indonesia",RSUD PORSEA,Indonesia
"RS dr. Martin Sentosa, Indonesia, Indonesia",RS DR MARTIN SENTOSA,Indonesia
"RS Apotek Kimia Farma, Indonesia, Indonesia",KIMIA FARMA,Indonesia
"RS APOTEK MEDIKA UTMA, INDONESIA, Indonesia",APOTEK MEDIKA UTAMA,Indonesia
RS THE S'PORE GASTROENTEROLOGY LIVER INTERNIST CE,SPORE GASTROENTEROLOGY & LIVER INTERNIST CENTRE GLENEAGLES HOSPITAL,Singapore
"RS UROLOGY SPECIALIST, SINGAPORE, Singapore",UROLOGY SPECIALIST SINGAPORE,Singapore
"RS APOTEK MERAPI, INDONESIA, Indonesia",APOTEK MERAPI,Indonesia
"RS RS. Pluit Jakarta, Indonesia, Indonesia",RS PLUIT,Indonesia
"RS SENTRA MEDIKA CIKARANG, BEKASI, Indonesia",RS SENTRA MEDIKA CIKARANG,Indonesia
"RS BHAKTI RAHAYU SURABAYAU, SURABAYA, Indonesia",RS BHAKTI RAHAYU SURABAYA,Indonesia
"RS GRHA HUSADA GRESIK, GRESIK, Indonesia",RS GRHA HUSADA GRESIK,Indonesia
"RS dr. LINNY UTAMI, JAKARTA, Indonesia",RS DR LINNY UTAMI,Indonesia
"RS RSPAD GATOT SOEBROTO, JAKARTA, Indonesia",RSPAD GATOT SOEBROTO,Indonesia
"RS drg. MADE SUTHANAYA, INDONESIA, Indonesia",RS DRG MADE SUTHANAYA,Indonesia
"KLINIK MATA UTAMA DR. SJAMJU, SURABAYA, Indonesia",KLINIK MATA UTAMA DR SJAMSU,Indonesia
"KLINIK MATA dr. SJAMJU, INDONESIA, Indonesia",KLINIK MATA DR SJAMJU,Indonesia
"RS THE ENT, VOICE SNORING CLINIC, Singapore, Sing",MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE,Singapore
"RS AESTHETIC RECONSTRUCTIVE JAW SUEGERY PTE LTD, S",RS AESTHETIC RECONSTRUCTIVE CENTRE,Singapore
"RS HASANAH GRAHA AFIAH, DEPOK, Indonesia",RS HASANAH GRAHA AFIAH,Indonesia
"RS ISLAND HOSPITAL, PENANG, Malaysia",ISLAND HOSPITAL PENANG,Malaysia
"RS dr. LILY EKAWATI CANDRA, Sp. A, INDONESIA, Indo",RS DR LILY EKAWATI CANDRA SPA,Indonesia
"RSIA ANDINI, RIAU, Indonesia",RSIA ANDINI,Indonesia
"RS PRODIA SURABAYA, INDONESIA, Indonesia",PRODIA SURABAYA,Indonesia
"RS BIO MEDIKA, JAKARTA, Indonesia",BIOMEDIKA LABORATORIUM KLINIK,Indonesia
"RS APOTEK CCA, INDONESIA, Indonesia",APOTEK CCA,Indonesia
"RS SANTOSAS HOSPITAL BANDUNG CENTRAL, INDONESIA, I",SANTOSA HOSPITAL BANDUNG,Indonesia
"RS PLUIT, INDONESIA, Indonesia",RS PLUIT,Indonesia
"RS RSUD GAMBIRAN KOTA KEDIRI, INDONESIA, Indonesia",RSUD GAMBIRAN,Indonesia
"RS EYE SURGEONS @ NAPIER, SINGAPORE, Singapore",EYE SURGEONS NAPIER SINGAPORE,Singapore
"RS APOTIK RINI, INDONESIA, Indonesia",APOTEK RINI,Indonesia
"RS RSUD DR MOEWARDI, INDONESIA, Indonesia",RSUD DR MOEWARDI,Indonesia
"RS MM CLINIC AESTHETIC, INDONESIA, Indonesia",RS MM CLINIC AESTHETIC,Indonesia
"RS AMPANG ENDOSCOPY CENTRE, MALAYSIA, Malaysia",AMPANG ENDOSCOPY CENTRE SDN BHD MALAYSIA,Malaysia
"RS CANDI EYE CENTER, INDONESIA, Indonesia",RS CANDI EYE CENTER,Indonesia
"RS MEDI-RAD ASSOCIATES Ltd, SINGAPORE, Singapore",MEDIRAD ASSOCIATES LTD SINGAPORE,Singapore
"RS KIMIA FARMA MALANG, INDONESIA, Indonesia",KIMIA FARMA MALANG,Indonesia
"RS APOTEK MEDISON CARE BATU, INDONESIA, Indonesia",APOTEK MEDISON CARE BATU,Indonesia
"RS APOTIK KAWI, INDONESIA, Indonesia",APOTEK KAWI,Indonesia
"RS DR SUGIHARTA TANDYA, INDONESIA, Indonesia",RS DR SUGIHARTA TANDYA,Indonesia
"RS ST GABRIEL, INDONESIA, Indonesia",RS ST GABRIEL,Indonesia
"RS ESTHER CHUWA BREASTCARE PRACTICE, SINGAPORE, Si",ESTHER CHUWA BREASTCARE PRACTICE SINGAPORE,Singapore
"RS WONGS PLASTIC SURGERY CENTRE PTE LTD, SINGAPORE",WONGS PLASTIC SURGERY CENTRE PTE LTD SINGAPORE,Singapore
"RS AT TIN HUSADAI, NGAWI, Indonesia",RS AT TIN HUSADAI,Indonesia
"RS PETROKIMIA GRESIK, GRESIK, Indonesia",RS PETROKIMIA GRESIK,Indonesia
"RS THERESA WOMENS CLINIC PTE LTD, SINGAPORE, Singa",THERESA WOMENS CLINIC PTE LTD SINGAPORE,Singapore
"RS DRG AGUS, INDONESIA, Indonesia",RS DRG AGUS,Indonesia
"RS APOTEK SELARAS, INDONESIA, Indonesia",APOTEK SELARAS,Indonesia
"RS ECON MEDICARE CENTRE PTE LTD, SINGAPORE, Singap",ECON MEDICARE CENTRE PTE LTD SINGAPORE,Singapore
"RS DR AYLING, INDONESIA, Indonesia",RS DR AYLING,Indonesia
"RS EYE SURGEONS @ NOVENA, SINGAPORE, Singapore",EYE SURGEONS NOVENA SINGAPORE,Singapore
"RS KHUSUS BEDAH SINDUADI, JOGJAKARTA, Indonesia",RS KHUSUS BEDAH SINDUADI,Indonesia
"RS QADR, TANGERANG, Indonesia",RS QADR,Indonesia
"RS Apotik Titi Murni, Indonesia, Indonesia",APOTEK TITI MURNI,Indonesia
"RS MAMMOCARE, SINGAPORE, Singapore",MAMMOCARE SINGAPORE,Singapore
"RS CAHAYA BUNDA CIREBON, CIREBON, Indonesia",RS CAHAYA BUNDA CIREBON,Indonesia
"RS DR KHIE, INDONESIA, Indonesia",RS DR KHIE,Indonesia
"RS PUSAKA HOSPITAL MEDICAL CLINIC, INDONESIA, Indo",RS PUSAKA HOSPITAL MEDICAL CLINIC,Indonesia
"RS MOM CHILD CARE CLINIC, INDONESIA, Indonesia",RS MOM CHILD CARE CLINIC,Indonesia
"RSIA GUNUNG SAWO SEMARANG, SEMARANG, Indonesia",RSIA GUNUNG SAWO SEMARANG,Indonesia
"RSIA ELIM, INDONESIA, Indonesia",RSIA ELIM,Indonesia
"RS DR WANTY SAHLI, INDONESIA, Indonesia",RS DR WANTY SAHLI SPA,Indonesia
"RS SANTO YUSUP BANDUNG, BANDUNG, Indonesia",RS SANTO YUSUP,Indonesia
"RS KMN JAKARTA SELATAN, INDONESIA, Indonesia",KLINIK MATA NUSANTARA JAKARTA SELATAN,Indonesia
"RS KMN KEMAYORAN, JAKARTA, Indonesia",KLINIK MATA NUSANTARA KEMAYORAN,Indonesia
"RS SASANA HUSADA CLINIC, INDONESIA, Indonesia",RS SASANA HUSADA CLINIC,Indonesia
"RS APOTIK ASIA, INDONESIA, Indonesia",APOTEK ASIA,Indonesia
"KLINIK MEDIKA SUDIRMAN, INDONESIA, Indonesia",KLINIK MEDIKA SUDIRMAN,Indonesia
RS PARKWAY HOSPITALS SINGAPORE PTE LTD-PARKWAY EAS,PARKWAY HOSPITALS SINGAPORE PTE LTD,Singapore
"RS SP CHEW SURGERY, INDONESIA, Singapore",SP CHEW SURGERY SINGAPORE,Singapore
"RS SOG CHILDREN, SINGAPORE, Singapore",SOG CHILDREN SINGAPORE,Singapore
"RS Apotek Bunda Medika, Indonesia, Indonesia",APOTEK BUNDA MEDIKA,Indonesia
"RS DR MARTIN SENTOSA SPM, INDONESIA, Indonesia",RS DR MARTIN SENTOSA SPM,Indonesia
"RS dr. M. Theresia Bonang, Sp.A, INDONESIA, Indone",RS DR M THERESIA BONANG SPA,Indonesia
"RSIA SITTI KHADIJAH PINRANG, INDONESIA, Indonesia",RSIA SITTI KHADIJAH PINRANG,Indonesia
"RS APOTEK AJIWARAS CILANDAK, INDONESIA, Indonesia",APOTEK AJIWARAS CILANDAK,Indonesia
"LAB PRODIA DIPONEGORO 192, DENPASAR, Indonesia",PRODIA DENPASAR,Indonesia
"RS PRODIA PIK, INDONESIA, Indonesia",PRODIA PANTAI INDAH KAPUK,Indonesia
"RS KS MEDICAL CENTER, INDONESIA, Indonesia",RS KS MEDICAL CENTER,Indonesia
"RS EPWORTH HEALTCARE, AUSTRALIA, Australia",EPWORTH HEALTCARE AUSTRALIA,Australia
"RS JOHAR BARU, INDONESIA, Indonesia",JOHAR BARU,Malaysia
"RS APOTEK ALVIN FARMA, INDONESIA, Indonesia",APOTEK ALVIN FARMA,Indonesia
"RS B K POH UROLOGY PTE LTD, SINGAPORE, Singapore",B K POH UROLOGY PTE LTD SINGAPORE,Singapore
"RSU A WAHAB SJAHRANIE, INDONESIA, Indonesia",RSU A WAHAB SJAHRANIE,Indonesia
"RS APOTEK MUTIARA, INDONESIA, Indonesia",APOTEK MUTIARA,Indonesia
"RSU MUHAMMADIYAH METRO, INDONESIA, Indonesia",RSU MUHAMMADIYAH METRO,Indonesia
"RS dr. SARAH AKBARI, MARS, INDONESIA, Indonesia",RS DR SARAH AKBARI MARS,Indonesia
"RS APOTEK CENTURY CIPUTRA WORLD, INDONESIA, Indone",APOTEK CENTURY CIPUTRA WORLD,Indonesia
"RS O G CENTRE K F THAM PTE LTD, SINGAPORE, Singap",O G CENTRE K F THAM PTE LTD SINGAPORE,Singapore
"RS SENTOSA BOGORU, BOGOR, Indonesia",RS SENTOSA BOGOR,Indonesia
RS ASTRA LAPAROSCOPIC ROBOTIC CENTRE FOR WOMEN AN,RS ASTRA LAPAROSCOPIC ROBOTIC CENTRE FOR WOMEN AN,Singapore
"RS WC CHENG ASSOCIATES PTE LTD, SINGAPORE, Singap",WC CHENG ASSOCIATES PTE LTD SINGAPORE,Singapore
"RS DR IVAN SPPD, INDONESIA, Indonesia",RS DR IVAN SPPD,Indonesia
"RS APOTEK ANDIR, INDONESIA, Indonesia",APOTEK ANDIR,Indonesia
"RS DR PORIES SETYADI SPOG, INDONESIA, Indonesia",RS DR PORIES SETYADI SPOG,Indonesia
"RS APOTIK 55, INDONESIA, Indonesia",APOTEK 55,Indonesia
"RS ORTHOPAEDIC CLINIC, SINGAPORE, Singapore",ORTHOPAEDIC CLINIC SINGAPORE,Singapore
"RS KIDZPHYSIO, SINGAPORE, Singapore",KIDZPHYSIO SINGAPORE,Singapore
"RS ICAC SINGAPORE PRIVATE LIMITED, SINGAPORE, Sing",ICAC SINGAPORE PTE LTD SINGAPORE,Singapore
"RS APOTEK KIMIA FARMA 134, INDONESIA, Indonesia",KIMIA FARMA 134,Indonesia
"LAB KLINIK PROMED, INDONESIA, Indonesia",LAB KLINIK PROMED,Indonesia
"RS PALAPA DENTIST, INDONESIA, Indonesia",RS PALAPA DENTIST,Indonesia
"RS RSUD Lakipadada Tana Toraja, Indonesia, Indones",RSUD LAKIPADADA TANA TORAJA,Indonesia
"RS Ciputra Hospital, Indonesia, Indonesia",CIPUTRA HOSPITAL,Indonesia
"RS Apotek Adhi Guna Farma, Indonesia, Indonesia",APOTEK ADHI GUNA FARMA,Indonesia
"RS AL ISLAM BANDUNG, INDONESIA, Indonesia",RS AL ISLAM BANDUNG,Indonesia
"RSU Sinar Kasih Tentena, Indonesia, Indonesia",RSU SINAR KASIH TENTENA,Indonesia
"RS DR WIMBO SASONO, INDONESIA, Indonesia",RS DR WIMBO SASONO,Indonesia
"RS DR KITRIASTUTI, INDONESIA, Indonesia",RS DR KITRIASTUTI,Indonesia
"RS DR PUSPAJAYA, INDONESIA, Indonesia",RS DR PUSPAJAYA,Indonesia
"RS APOTIK NUSANTARA, INDONESIA, Indonesia",APOTEK NUSANTARA,Indonesia
"RS BHAKTI HUSADA II PURWAKARTA, PURWAKARTA, Indone",RS BHAKTI HUSADA II PURWAKARTA,Indonesia
"RS SUAKA INSAN, INDONESIA, Indonesia",RS SUAKA INSAN,Indonesia
"RS QUANTUM MEDICAL IMAGING, SINGAPORE, Singapore",QUANTUM MEDICAL IMAGING SINGAPORE,Singapore
"RS PURI BUNDA MALANG, MALANG, Indonesia",RS PURI BUNDA MALANG,Indonesia
"RS YH GOH EAR NOSE THROAT HEAD NECK SURGERY, SING",YH GOH ENT HEAD AND NECK SURGERY EAR NOSE THROAT HEAD AND NECK SURGERY,Singapore
"RS PERTAMEDIKA TARAKAN, INDONESIA, Indonesia",RS PERTAMEDIKA TARAKAN,Indonesia
"RS RESIT RASMI, MALAYSIA, Malaysia",RESIT RASMI MALAYSIA,Malaysia
"RS HEALTH FERTILITY CENTRE FOR WOMEN, SINGAPORE,",HEALTH FERTILITY CENTRE FOR WOMEN SINGAPORE,Singapore
"RS BHAYANGKARA TULUNGAGUNG, INDONESIA, Indonesia",RS BHAYANGKARA TULUNGAGUNG,Indonesia
"RS PARKWAY EAST HOSPITAL, SINGAPORE, Singapore",PARKWAY EAST HOSPITAL SINGAPORE,Singapore
"RS SIMALAB, INDONESIA, Indonesia",LABORATORIUM KLINIK SIMA,Indonesia
"RS DR LENY MEGAHWATI, INDONESIA, Indonesia",RS DR LENY MEGAHWATI,Indonesia
"RS MUJI RAHAYU, SURABAYA, Indonesia",RS MUJI RAHAYU SURABAYA,Indonesia
"RS THE ARTHRITIS RHEUMATOLOGY CLINIC, SINGAPORE,",ARTHRITIS RHEUMATOLOGY CLINIC SINGAPORE,Singapore
"RS THOMSON WOMEN CANCER CENTER, SINGAPORE, Singapo",THOMSON WOMEN CANCER CENTER SINGAPORE,Singapore
"RS RSUP DR SOERADJI TIRTONEGORO, INDONESIA, Indone",RSUP DR SOERADJI TIRTONEGORO,Indonesia
"RS FM SURGERY, SINGAPORE, Singapore",FEM SURGERY SINGAPORE,Singapore
"RS EMC TANGERANG (d/h RS USADA INSANI TANGERANG),",RS EMC TANGERANG,Indonesia
"RS DR IRVAN AUWRIADHARMA, INDONESIA, Indonesia",RS DR IRVAN AUWRIADHARMA,Indonesia
"RS APOTIK KARTIKA, INDONESIA, Indonesia",APOTEK KARTIKA,Indonesia
"RS PERMATA BUNDA GROBAGAN, INDONESIA, Indonesia",RS PERMATA BUNDA GROBAGAN,Indonesia
"RS SS MEDIKA, INDONESIA, Indonesia",RS KHUSUS BEDAH SS MEDIKA,Indonesia
"RS APOTIK ANUGRAH HUSASDA, INDONESIA, Indonesia",APOTEK ANUGRAH HUSADA,Indonesia
"RS RSUP DR HASAN SADIKIN, INDONESIA, Indonesia",RS DR HASAN SADIKIN,Indonesia
"RS PURI GARCIA SERANG, SERANG, Indonesia",RS PURI GARCIA SERANG,Indonesia
"RS RSUP NASIONAL DR CIPTO MANGUNKUSUMO, INDONESIA,",RSUP DR CIPTO MANGUNKUSUMO,Indonesia
"RS RSUD GATOT SOEBROTO, INDONESIA, Indonesia",RSPAD GATOT SOEBROTO,Indonesia
"RS RSUD GENTENG, BANYUWANGI, Indonesia",RSUD GENTENG,Indonesia
"RS RSUD BALI MANDARA, INDONESIA, Indonesia",RSUD BALI MANDARA,Indonesia
"RS JANTUNG BINAWALUYA, JAKARTA TIMUR, Indonesia",RS JANTUNG BINAWALUYA,Indonesia
"RS DHARMAWANGSA, INDONESIA, Indonesia",RS DHARMAWANGSA,Indonesia
"RS MEDI RAD ASSOCIATES LTD, SINGAPORE, Singapore",MEDIRAD ASSOCIATES LTD SINGAPORE,Singapore
"RS DR DINA, INDONESIA, Indonesia",RS DR DINA,Indonesia
"RS LOMBOK DUA DUA LONTAR SURABAYA, SURABAYA, Indon",RS LOMBOK DUA DUA LONTAR SURABAYA,Indonesia
"RSU MAMAMI, INDONESIA, Indonesia",RS MAMAMI,Indonesia
"RS THE CHONG FAMILY CLINIC PTE LTD, SINGAPORE, Sin",CHONG FAMILY CLINIC PTE LTD SINGAPORE,Singapore
"RS APOTEK KHARISMA, INDONESIA, Indonesia",APOTEK KHARISMA,Indonesia
RS NOVENA ENT HEAD NECK SURGERY SPRECIALIST CENTR,NOVENA ENT HEAD NECK SURGERY SPECIALIST CENTRE,Singapore
"RS Chew Chew Surgery, Singapore, Singapore",CHEW CHEW SURGERY SINGAPORE,Singapore
"RS KMN KEBON JERUK, JAKARTA, Indonesia",KLINIK MATA NUSANTARA KEBON JERUK,Indonesia
"RS APOTEK SEJATI, INDONESIA, Indonesia",APOTEK SEJATI,Indonesia
"RS MALANG EYE CENTRE, INDONESIA, Indonesia",RS MALANG EYE CENTER,Indonesia
"RS GIGI SEHAT SURABAYA, INDONESIA, Indonesia",RS GIGI SEHAT SURABAYA,Indonesia
"RS EAGLE EYE CENTRE, SINGAPORE, Singapore",EAGLE EYE CENTRE PTE LTD SINGAPORE,Singapore
"RS PETER CHEW CLINIC FOR WOMEN, SINGAPORE, Singapo",PETER CHEW CLINIC FOR WOMEN SINGAPORE,Singapore
"RS E C TAN PTE LTD, SINGAPORE, Singapore",E C TAN PTE LTD SINGAPORE,Singapore
"RS ESTHER CHUWA, SINGAPORE, Singapore",ESTHER CHUWA BREASTCARE PRACTICE SINGAPORE,Singapore
"RS MOW BLOOD CANCER CLINIC, SINGAPORE, Singapore",MOW BLOOD CANCER CLINIC SINGAPORE,Singapore
"LAB KLINIK LIFE, INDONESIA, Indonesia",LAB KLINIK LIFE,Indonesia
"RS KHUSUS MATA PRIMA VISION, INDONESIA, Indonesia",RS KHUSUS MATA PRIMA VISION,Indonesia
"RS PROVITA, INDONESIA, Indonesia",RS PROVITA,Indonesia
"RS APOTEK KAWI, INDONESIA, Indonesia",APOTEK KAWI,Indonesia
"RS MALEO PAPUA, INDONESIA, Indonesia",RS MALEO PAPUA,Indonesia
"RS RSUD SORONG, INDONESIA, Indonesia",RSUD SORONG,Indonesia
"RS ORTHOPAEDIC SPECIALIST PRACTICE PTE LTD, SINGAP",ORTHOPAEDIC SPECIALIST PRACTICE PTE LTD SINGAPORE,Singapore
"RS HEALTH FERTILITY, SINGAPORE, Singapore",HEALTH FERTILITY CENTRE FOR WOMEN SINGAPORE,Singapore
"RS ARDEN, SINGAPORE, Singapore",ARDEN HOSPITAL SINGAPORE,Singapore
"RS NOVENA ENT HEAD NECK SURGERY SPECIALIST CENTRE,",NOVENA ENT HEAD NECK SURGERY SPECIALIST CENTRE,Singapore
"RSIA AMANAH, PROBOLINGGO, Indonesia",RSIA AMANAH PROBOLINGGO,Indonesia
"RS CENTRE FOR ORTHOPAEDICS HIP KNEE SURGERY, SING",CENTRE FOR ORTHOPAEDICS HIP KNEE SURGERY,Singapore
"RS CENTRE FOR ORTHOPAEDICS HIP KNEE SURGERY, SINGA",CENTRE FOR ORTHOPAEDICS HIP KNEE SURGERY,Singapore
"RS PRIMA PEKANBARU, PEKANBARU, Indonesia",RS PRIMA PEKANBARU,Indonesia
"RS SARAWAK MEDICAL CENTRE SDN BHD, MALAYSIA, Malay",SARAWAK MEDICAL CENTRE SDN BHD MALAYSIA,Malaysia
"RS DR CHANDRA IWAN K, MALANG, Indonesia",RS DR CHANDRA IWAN K,Indonesia
"RS APOTEK TAMA, INDONESIA, Indonesia",APOTEK TAMA,Indonesia
"RS DR CHANDRA IWAN K, INDONESIA, Indonesia",RS DR CHANDRA IWAN K,Indonesia
"RS CLAIRE MEDIKA, INDONESIA, Indonesia",RS CLAIRE MEDIKA,Indonesia
"RS PRODIA LABORATORIUM TANGERANG KOTA, TANGERANG,",PRODIA TANGERANG KOTA,Indonesia
"RS APOTEK JATI, INDONESIA, Indonesia",APOTEK JATI,Indonesia
"RS RSUD DR R SOEDARSONO KOTA PASURUAN, INDONESIA,",RSUD DR R SOEDARSONO KOTA PASURUAN,Indonesia
"RS LABORATORIUM KLINIK SEJAHTERA, INDONESIA, Indon",LABORATORIUM KLINIK SEJAHTERA,Indonesia
"RS PALA RAYA TEGAL, TEGAL, Indonesia",RS PALA RAYA TEGAL,Indonesia
"RS POLYCLINIC CS NG SDN BHD, MALAYSIA, Malaysia",POLYCLINIC CS NG SDN BHD MALAYSIA,Malaysia
"KLINIK MEDIKA UTAMA 2, INDONESIA, Indonesia",KLINIK MEDIKA UTAMA 2,Indonesia
"RS DR SAMUEL NUGRAHA, INDONESIA, Indonesia",RS DR SAMUEL NUGRAHA,Indonesia
"RS STANLEY EAR NOSE THROAT SINUS CENTRE PTE LTD,",STANLEY EAR NOSE THROAT SINUS CENTRE PTE LTD SINGAPORE,Singapore
"RS GANDARIA JAKARTA, JAKARTA SELATAN, Indonesia",RS GANDARIA,Indonesia
"RS APOTEK MEDIKA UTAMA, INDONESIA, Indonesia",APOTEK MEDIKA UTAMA,Indonesia
"RS LOW CARDIOLOGY CLINIC, SINGAPORE, Singapore",LOW CARDIOLOGY CLINIC SINGAPORE,Singapore
"RS APOTEK PECENONGAN, INDONESIA, Indonesia",APOTEK PECENONGAN,Indonesia
"RS APOTEK MITRAKU, INDONESIA, Indonesia",APOTEK MITRAKU,Indonesia
"RS ORTHOPAEDICS NEUROSURGERY INTERNATIONAL, SINGAP",ORTHOPAEDICS NEUROSURGERY INTERNATIONAL SINGAPORE,Singapore
"RS INFECTIUS DISEASE SPECIALIST, SINGAPORE, Singap",INFECTIOUS DISEASES CARE PTE LTD SINGAPORE,Singapore
"RS STANLEY EAR NOSE THROAT SINUS CENTRE PTE LTD, S",STANLEY EAR NOSE THROAT SINUS CENTRE PTE LTD SINGAPORE,Singapore
"RS VIVIEN LIM ENDOERINOLOGY SPECIALIST CENTRE, SIN",VIVIEN LIM ENDOERINOLOGY SPECIALIST CENTRE SINGAPORE,Singapore
"RS THE ENT VOICE SNORING CLINIC, SINGAPORE, Singap",MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE,Singapore
"RS VASCULAR INTERVENTIONAL CENTRE, SINGAPORE, Sing",VASCULAR INTERVENTIONAL CENTRE SINGAPORE,Singapore
"RS SEONG JE PARK, KOREA SELATAN, Korea South",SEONG JE PARK KOREA NORTH,South Korea
"RS Wooridul Spine Hospital, KOREA SELATAN, Korea S",RS WOORIDUL SPINE HOSPITAL KOREA SELATAN,South Korea
"RS SELVA CLINIC, MALAYSIA, Malaysia",RS SELVA CLINIC MALAYSIA,Malaysia
"LAB KLINIK BIDAURA, INDONESIA, Indonesia",LAB KLINIK BIDAURA,Indonesia
"RS GEORGETOWN SPECIALIST HOSPITAL SDN BHD, MALAYSI",RS GEORGETOWN SPECIALIST HOSPITAL SDN BHD,Indonesia
"RS SARILA HUSADA, INDONESIA, Indonesia",RS SARILA HUSADA,Indonesia
"RS SEONG JE PARK, KOREA NORTH, Korea North",SEONG JE PARK KOREA NORTH,South Korea
"RS KMN KEMAYORAN, INDONESIA, Indonesia",KLINIK MATA NUSANTARA KEMAYORAN,Indonesia
"RS PINNACLE SPINE SCOLIOSIS CENTRE PTE LTD, SINGAP",PINNACLE SPINE SCOLIOSIS CENTRE PTE LTD SINGAPORE,Singapore
"RS DRG JILLY HANDI, INDONESIA, Indonesia",RS DRG JILLY HANDI,Indonesia
"RS PRODIA LABORATORIUM KEDIRI, KEDIRI, Indonesia",PRODIA KEDIRI,Indonesia
"RS KANKER DHARMAIS, INDONESIA, Indonesia",RS KANKER DHARMAIS,Indonesia
"RS CENTRE FOR HAND RECONTRUCTIVE MICROSURGERY, SI",CENTRE FOR HAND RECONSTRUCTIVE MICROSURGERY,Indonesia
"RSIA AMANAT, INDONESIA, Indonesia",RSIA AMANAT,Indonesia
"KLINIK MATA UTAMA DR SJAMSU, INDONESIA, Indonesia",KLINIK MATA UTAMA DR SJAMSU,Indonesia
"KLINIK UTAMA YAYASAN KANKER INDONESIA, INDONESIA,",KLINIK UTAMA YAYASAN KANKER,Indonesia
"RS PINNACLE SPINE SCOLIOSIS CENTRE PTE LTD, SINGA",PINNACLE SPINE SCOLIOSIS CENTRE PTE LTD SINGAPORE,Singapore
"RS PRODIA PANTAI INDAH KAPUK, INDONESIA, Indonesia",PRODIA PANTAI INDAH KAPUK,Indonesia
"RS DR HASAN SADIKIN, INDONESIA, Indonesia",RS DR HASAN SADIKIN,Indonesia
"RS MELLISA TEO SURGERY, SINGAPORE, Singapore",MELISSA TEO SURGERY SINGAPORE,Singapore
"RSIA PUTRI SURABAYA, SURABAYA, Indonesia",RSIA PUTRI SURABAYA,Indonesia
"RS APOTEK K24 PESANGGRAHAN, MALAYSIA, Indonesia",APOTEK K24,Indonesia
"RS APOTEK SEHAT SENTOSA, INDONESIA, Indonesia",APOTEK SEHAT SENTOSA,Indonesia
"RS LIM A HUN, MALAYSIA, Malaysia",LIM A HUN MALAYSIA,Malaysia
"RS DRG THERESIA, INDONESIA, Indonesia",RS DRG THERESIA,Indonesia
"RS APOTEK JAYA ABADI, INDONESIA, Indonesia",APOTEK JAYA ABADI,Indonesia
"RS APOTEK SANGLA FARMA, INDONESIA, Indonesia",RS APOTEK SANGLA FARMA,Indonesia
"RS PRO ACTIVE, JAKARTA, Indonesia",RS PRO ACTIVE,Indonesia
"RS CENTRE FOR ORTHOPAEDICS HIP KNEE SURGERY, SIN",CENTRE FOR ORTHOPAEDICS HIP KNEE SURGERY,Singapore
"RS RSUD PROF DR MARGONO SOEKARJO, INDONESIA, Indon",RSUD PROF DR MARGONO SOEKARJO,Indonesia
"RS KHNG SURGERY, SINGAPORE, Singapore",KH NG SURGERY SINGAPORE,Singapore
"RS NOBEL ENT CENTRE, SINGAPORE, Singapore",NOBEL ENT CENTRE SINGAPORE,Singapore
"RS ADRI GUNA FARMA, INDONESIA, Indonesia",RS ADRI GUNA FARMA,Indonesia
"RS APOTEK TIARA, INDONESIA, Indonesia",APOTEK TIARA,Indonesia
"RS APOTEK MEDIKA UTAMA 2, INDONESIA, Indonesia",APOTEK MEDIKA UTAMA 2,Indonesia
"RS APOTEK SINAR KENCANA, INDONESIA, Indonesia",APOTEK SINAR KENCANA,Indonesia
"RS KARMEL STROKE CENTRE, INDONESIA, Indonesia",RS KARMEL STROKE CENTRE,Indonesia
"RS SEKANG ORTHOPEDIC SURGERY, KOREA, Korea North",SEKANG ORTHOPEDIC SURGERY KOREA,North Korea
"KLINIK MATA NUSANTARA, JAKARTA, Indonesia",KLINIK MATA NUSANTARA,Indonesia
"LAB KLINIK GUNUNG SAHARI, INDONESIA, Indonesia",LABORATORIUM DAN KLINIK GUNUNG SAHARI,Indonesia
